Region_Name,average_house_price,Lat,Long
Enfield,648730.4806,-0.08144,51.6489
East Sussex,383338.0358,0.334559,50.938
East Renfrewshire,538229.7298,-4.3606,55.7487
East Lothian,510811.7828,-2.72435,55.9421
East Ayreshire,266823.0828,-4.29057,55.4967
Ealing,762395.1889,-0.3141,51.5244
Dumfries and Galloway,310264.0053,-4.02863,55.0962
Dudley,258025.7767,-2.10171,52.4951
Dorset,382549.6444,-2.41467,50.797
Doncaster,186288.1404,-1.10894,53.527
Devon,347362.9367,-3.65698,50.7256
Derbyshire,233244.9627,-1.6021,53.0786
Denbighshire,196562.8412,-3.34761,53.0883
Darlington,232778.9809,-1.56835,54.5353
Cumbria,235884.4376,-2.90213,54.6364
Croydon,562547.7552,-0.07761,51.366
Coventry,278412.3612,-1.51908,52.4142
County Durham,195294.6621,-1.8405,54.6851
Cornwall,308728.9181,-4.64254,50.4502
Conwy,226224.7943,-3.74646,53.1474
Clackmannanshire,291916.8328,-3.75316,56.1478
City of Plymouth,280723.2455,-4.11297,50.4049
City of Peterborough,256430.7711,-0.26874,52.5921
City of Nottingham,207629.6619,-1.16667,52.9542
City of Kingston upon Hull,173294.4952,-0.30382,53.7692
City of Glasgow,472421.3743,-4.21479,55.8765
City of Edinburgh,733816.7409,-3.27826,55.9112
City of Dundee,307762.6282,-2.97095,56.4776
City of Derby,219356.3541,-1.47189,52.9146
City of Bristol,364349.8318,-2.57742,51.4711
City of Aberdeen,407649.4159,-2.20398,57.167
Cheshire West and Chester,302648.7162,-2.70298,53.1634
Chesire East,311379.8101,-2.29299,53.1679
Ceredigion,228890.2013,-3.94993,52.298
Central Bedforshire,394261.7515,-0.47754,51.999
Carmarthenshire,185050.1283,-4.2111,51.895
Cardiff,331542.7076,-3.22209,51.5025
Camden,1647422.633,-0.16291,51.543
Cambridgeshire,337309.4152,-0.23506,52.3497
Calderdale,232126.6452,-1.96182,53.7205
Caerphilly,198132.6278,-3.19753,51.65
Bury,248276.4786,-2.3088,53.5931
